close,volume,close_log,nvi,pvi,ma_5,ma_10,ma_20,ma_60,rsi,vpt,obv,std_5,std_10,std_20,std_60,mfi,ema_5,ema_10,ema_20,ema_60,fi,ubb,mbb,lbb
357000.0,260618.67305373627,12.785491060761775,1.1072808123652504,358500.0,358320.0,353255.0,390420.0,371854.1666666667,38.333333333333336,-944127.0935491199,-884838.3843681235,358320.0,353255.0,390420.0,371854.1666666667,37.59774162978832,357884.58441174595,363117.35304524854,378202.3935486859,374569.54398537474,-16418976402.385386,482972.87763162574,390420.0,297867.12236837426
363250.0,333645.9437054511,12.80284658143253,1.1072808123652504,363250.0,366010.0,349980.0,385677.5,372734.1666666667,39.58635703918723,-938285.9530780861,-551192.4406626724,366010.0,349980.0,385677.5,372734.1666666667,39.471723158039765,359673.0562744973,363141.47067338513,376778.3560678587,374198.41139569035,-19151277168.692894,473212.7168227764,385677.5,298142.2831772236
350950.0,198054.7317319642,12.768399042158567,1.069787201925904,363250.0,363200.0,346720.0,380595.0,373530.0,38.07363461874018,-944992.2798511161,-749247.1723946366,363200.0,346720.0,380595.0,373530.0,37.89937892541903,356765.3708496649,360924.83964186057,374318.51263282454,373436.1683991103,-13537040913.879753,463448.33840111987,380595.0,297741.66159888013
333000.0,432084.27420362085,12.71589776896258,1.069787201925904,333000.0,352540.0,345915.0,375200.0,374230.8333333333,37.35661701763397,-967092.0454073349,-1181331.4465982574,352540.0,345915.0,375200.0,374230.8333333333,37.080628835480546,348843.58056644327,355847.59607061313,370383.4161916032,372110.3923860247,-31909423649.9374,455533.09601770266,375200.0,294866.90398229734
324000.0,178421.2837758447,12.688498794774466,1.040874034306285,333000.0,345640.0,344625.0,369807.5,374734.1666666667,36.58618376928236,-971914.2422661416,-1359752.730374102,345640.0,344625.0,369807.5,374734.1666666667,35.739929988434824,340562.38704429555,350057.1240577743,365965.94798287906,370533.00247172883,-14273702702.067575,448593.4410047247,369807.5,291021.5589952753
323800.0,345067.21942523634,12.687881320225673,1.040874034306285,323800.0,339000.0,348660.0,364917.5,375357.5,37.568870523415974,-972127.2467225769,-1704819.9497993384,339000.0,348660.0,364917.5,375357.5,35.44051786825397,334974.92469619703,345283.10150181537,361950.14341308107,369000.7728824918,-24913853242.502064,442295.9974551782,364917.5,287539.0025448218
338550.0,255878.73790903096,12.732427070913792,1.0882887718171488,323800.0,334060.0,350035.0,360845.0,376272.5,42.312948411342674,-960471.2510951582,-1448941.2118903075,334060.0,350035.0,360845.0,376272.5,39.56228448705596,336166.6164641314,344058.90122875804,359721.558326121,368002.3868863445,-11514543205.906393,434501.0420217904,360845.0,287188.9579782096
340050.0,233207.25996490708,12.736847944603785,1.093110609530118,323800.0,331880.0,347540.0,356815.0,377406.6666666667,49.80135081446167,-959437.9889774581,-1215733.9519254004,331880.0,347540.0,356815.0,377406.6666666667,44.38085717105641,337461.0776427543,343330.01009625656,357848.07658077613,367085.9151851529,-233207259.96490708,425334.2796533246,356815.0,288295.7203466754
338500.0,85376.10802145951,12.732279371334467,1.0881280438933831,323800.0,332980.0,342760.0,352775.0,378203.3333333333,50.321156162183854,-959827.1463585293,-1301110.05994686,332980.0,342760.0,352775.0,378203.3333333333,45.827727718791756,337807.38509516953,342451.82644239167,356005.40262070217,366148.6720643282,136601772.8343352,415023.005675092,352775.0,290526.994324908
333950.0,121616.05639098126,12.718746560153782,1.0881280438933831,333950.0,334970.0,340305.0,349130.0,378849.1666666667,62.61238761238762,-961461.8673528542,-1422726.1163378411,334970.0,340305.0,349130.0,378849.1666666667,50.1321347784459,336521.5900634464,340906.03981650225,353904.8880853972,365092.9778982847,6141610847.744554,406382.7581500616,349130.0,291877.2418499384
324000.0,176085.92704677643,12.688498794774466,1.0881280438933831,324000.0,335010.0,337005.0,345130.0,379324.1666666667,49.76303317535545,-966708.3263261,-1598812.0433846177,335010.0,337005.0,345130.0,379324.1666666667,44.398432863253525,332347.72670896427,337832.21439532004,351056.80350583553,363745.6671475212,-140868741.63742113,397184.0650113947,345130.0,293075.9349886053
309800.0,222514.6320596329,12.643682206964906,1.0881280438933831,309800.0,329260.0,331660.0,340820.0,379595.8333333333,30.672268907563023,-976460.5108176025,-1821326.6754442505,329260.0,331660.0,340820.0,379595.8333333333,33.56725597583118,324831.8178059762,332735.44814162544,347127.5841243274,361976.9567492418,-12282807689.691736,389290.6139950033,340820.0,292349.3860049967
314200.0,108363.59476965368,12.657785004803657,1.1035824124961298,309800.0,324090.0,327985.0,337352.5,379920.0,21.36616362192216,-974921.4539519263,-1712963.0806745968,324090.0,327985.0,337352.5,379920.0,25.581992417106914,321287.8785373175,329365.36666132987,343991.62373153435,360410.499150906,-7813015182.89203,382779.02222053334,337352.5,291925.97777946666
321200.0,198197.08757759424,12.679819261054744,1.1035824124961298,321200.0,320630.0,326805.0,336360.0,380135.8333333333,32.25499524262607,-970505.8600211715,-1514765.9930970026,320630.0,326805.0,336360.0,380135.8333333333,31.688008305219434,321258.58569154504,327880.75454108807,341820.9928999597,359124.9090148107,-7392751366.644265,382310.73563353624,336360.0,290409.26436646376
316150.0,55078.959150874594,12.663972063486758,1.0862315682149795,321200.0,317070.0,326020.0,335322.5,380241.6666666667,31.201104463874827,-971371.8274673481,-1569844.9522478771,317070.0,326020.0,335322.5,380241.6666666667,37.40351049693093,319555.7237943634,325747.89007907204,339376.13643329684,357715.895604489,-2249975481.313227,382150.53338307404,335322.5,288494.46661692596
