close,close_log,nvi,pvi,ma_5,ma_10,ma_20,ma_60,rsi,vpt,obv,std_5,std_10,std_20,std_60,mfi,ema_5,ema_10,ema_20,ema_60,fi,ubb,mbb,lbb,volume
3091000.0,14.944005221114253,1.1634816019213836,3063000.0,3084200.0,3170200.0,3289500.0,3215300.0,24.735449735449734,-50913.192669119075,77580.12138180003,3084200.0,3170200.0,3289500.0,3215300.0,53.11792786233552,3101463.543534364,3154992.252034739,3207830.4110214724,3195371.9392975904,-2058452065.6477997,3610062.3348528584,3289500.0,2968937.6651471416,5388.6179729
3087000.0,14.942710303484297,1.1634816019213836,3087000.0,3088600.0,3137500.0,3279000.0,3216816.6666666665,25.546448087431695,-50921.71077298088,70997.75662259002,3088600.0,3137500.0,3279000.0,3216816.6666666665,54.02771457766805,3096642.3623562427,3142630.024392059,3196322.7528289515,3191818.7609599647,-2356486583.7971797,3612042.118404834,3279000.0,2945957.881595166,6582.36475921
3071000.0,14.937513799422959,1.1574512470037477,3087000.0,3085200.0,3106200.0,3262700.0,3216783.3333333335,25.304465493910694,-50942.23051158131,67038.72955637002,3085200.0,3106200.0,3262700.0,3216783.3333333335,52.64871283999789,3088094.9082374955,3129606.3835935025,3184387.2525595273,3187857.4901088183,-1445044879.1703,3603251.3177187843,3262700.0,2922148.6822812157,3959.02706622
3050000.0,14.930652148583594,1.1574512470037477,3050000.0,3072400.0,3086100.0,3243350.0,3215633.3333333335,26.044568245125348,-50979.94369133478,61523.62598385002,3072400.0,3086100.0,3243350.0,3215633.3333333335,53.32417178365015,3075396.605491664,3115132.495667411,3171588.466601477,3183337.5724003324,-1897195628.9468799,3586172.510468917,3243350.0,2900527.489531083,5515.10357252
3003000.0,14.915122346965466,1.139615113033526,3050000.0,3060400.0,3063700.0,3223000.0,3214083.3333333335,25.442176870748302,-51042.834596485,57442.40767091002,3060400.0,3063700.0,3223000.0,3214083.3333333335,54.47633854004541,3051264.4036611095,3094744.769182427,3155532.422163241,3177424.865108518,-1473319810.97134,3572425.9954779977,3223000.0,2873574.0045220023,4081.21831294
2999000.0,14.913789457731145,1.139615113033526,2999000.0,3042000.0,3063100.0,3201200.0,3212683.3333333335,19.883889695210453,-51050.37947872048,51778.087332620016,3042000.0,3063100.0,3201200.0,3212683.3333333335,50.73878360581008,3033842.935774073,3077336.6293310765,3140624.5724334083,3171574.869531189,-2350692940.39035,3549336.452377059,3201200.0,2853063.547622941,5664.32033829
3008000.0,14.916785964051867,1.143035098367738,2999000.0,3026200.0,3057400.0,3177950.0,3210816.6666666665,21.856287425149702,-51039.465806488006,55414.765446530015,3026200.0,3057400.0,3177950.0,3210816.6666666665,49.9703577693649,3025228.623849382,3064729.9694526987,3127993.6607730836,3166211.7590547567,-1367390970.83016,3511459.236043495,3177950.0,2844440.763956505,3636.67811391
3092000.0,14.94432868868945,1.143035098367738,3092000.0,3030400.0,3057800.0,3160300.0,3210600.0,37.15670436187399,-50813.7209574839,63498.58099182002,3030400.0,3057800.0,3160300.0,3210600.0,54.72410350822409,3047485.7492329217,3069688.156824935,3124565.693080409,3163778.586626732,-1285326671.7011101,3470877.1198405013,3160300.0,2849722.8801594987,8083.81554529
3127000.0,14.955584636439978,1.1559737233492615,3092000.0,3045800.0,3059100.0,3144850.0,3211250.0,42.06349206349206,-50735.980030976236,70366.43655644002,3045800.0,3059100.0,3144850.0,3211250.0,64.06357832460077,3073990.4994886145,3080108.491947674,3124797.531834656,3162572.7313274946,-686785556.462,3427134.123385977,3144850.0,2862565.876614023,6867.85556462
3126000.0,14.95526478996356,1.1556040483497894,3092000.0,3070400.0,3065400.0,3131450.0,3212183.3333333335,64.7921760391198,-50738.16398631855,63537.208201020025,3070400.0,3065400.0,3131450.0,3212183.3333333335,72.52884483994502,3091326.9996590763,3088452.402502642,3124912.0526123075,3161373.6253823307,826336631.00582,3388227.1714726086,3131450.0,2874672.8285273914,6829.22835542
3098000.0,14.94626729995895,1.1452531483645705,3092000.0,3090200.0,3066100.0,3118150.0,3212333.3333333335,54.376657824933694,-50781.9526735746,58648.51404522003,3090200.0,3066100.0,3118150.0,3212333.3333333335,63.67693316690058,3093551.333106051,3090188.329320343,3122348.999982564,3159295.8015993033,161326907.1414,3350615.300183648,3118150.0,2885684.699816352,4888.6941558
3100000.0,14.946912669455376,1.1452531483645705,3100000.0,3108600.0,3067400.0,3102450.0,3212366.6666666665,51.68539325842697,-50777.949283017624,64849.76601797003,3108600.0,3067400.0,3102450.0,3212366.6666666665,55.63049282475381,3095700.8887373675,3091972.269443917,3120220.523793748,3157351.676956703,74415023.67300001,3288581.221397559,3102450.0,2916318.778602441,6201.25197275
3119000.0,14.95302299558994,1.152272441854547,3100000.0,3114000.0,3072200.0,3089200.0,3207316.6666666665,50.71633237822349,-50756.59868859773,68333.28405490004,3114000.0,3072200.0,3089200.0,3207316.6666666665,53.97520675998558,3103467.2591582453,3096886.4022722957,3120104.2834324385,3156094.2449253355,17417590.18465,3220633.553354416,3089200.0,2957766.446645584,3483.51803693
3108000.0,14.949489990469676,1.152272441854547,3108000.0,3110200.0,3078000.0,3082050.0,3203683.3333333335,57.28155339805825,-50770.674115195834,64342.260822220036,3110200.0,3078000.0,3082050.0,3203683.3333333335,56.763010140894345,3104978.1727721635,3098907.0564046055,3118951.494534111,3154517.38443598,179596045.4706,3189857.7723982525,3082050.0,2974242.2276017475,3991.02323268
