close,close_log,nvi,pvi,ma_5,ma_10,ma_20,ma_60,rsi,vpt,obv,std_5,std_10,std_20,std_60,mfi,ema_5,ema_10,ema_20,ema_60,fi,ubb,mbb,lbb,volume
314.0,5.749392985908253,0.7998654185095088,312.0,316.4,327.3,348.75,341.45,36.00000000000001,-4273179897.1808944,166621121.3265163,316.4,327.3,348.75,341.45,35.97888349457589,317.91196020908126,326.084877145977,333.9434864952455,336.7662609103733,-775116032.511366,405.5186904070046,348.75,291.9813095929954,18455143.631223
314.0,5.749392985908253,0.7998654185095088,314.0,316.8,322.6,344.3,341.18333333333334,31.914893617021278,-4273179897.1808944,166621121.3265163,316.8,322.6,344.3,341.18333333333334,33.169561939590544,316.60797347272086,323.8876267557994,332.04410682903165,336.0198261264266,-2162091448.530231,396.96817674939274,344.3,291.6318232506073,42393949.971181
310.0,5.736572297479191,0.7896760501208526,314.0,315.0,318.2,340.3,340.3833333333333,21.25984251968504,-4273506593.908434,140975428.2146573,315.0,318.2,340.3,340.3833333333333,25.975991052385698,314.4053156484806,321.3626037092904,329.94466808340957,335.16671707310115,-1872135597.165707,390.44547258778834,340.3,290.1545274122117,25645693.111859
304.0,5.717027701406222,0.7896760501208526,304.0,310.8,314.5,337.15,335.95,23.893805309734514,-4274156085.1490726,107418380.7816493,310.8,314.5,337.15,335.95,28.593895284330173,310.9368770989871,318.20576667123754,327.47374731356103,334.14485749693387,-1979865798.547472,388.1413305324903,337.15,286.15866946750964,33557047.433008
302.0,5.71042701737487,0.784480812949005,304.0,308.8,311.3,333.95,333.75,22.80701754385965,-4274266847.429841,90582514.10482931,308.8,311.3,333.95,333.75,33.14024379369718,307.9579180659914,315.2592636401034,325.04767614084096,333.09092774293606,-1043823733.96284,385.3492627430229,333.95,282.5507372569771,16835866.67682
301.0,5.707110264748875,0.784480812949005,301.0,306.2,311.3,331.75,332.53333333333336,23.214285714285715,-4274353972.412234,64270769.42217331,306.2,311.3,331.75,332.53333333333336,35.360205616124155,305.63861204399427,312.6666702509937,322.7574212702847,332.0387661775939,-1578704680.9593601,384.89478733660167,331.75,278.60521266339833,26311744.682656
302.0,5.71042701737487,0.7870870614970082,301.0,303.8,310.3,329.05,331.3,25.471698113207548,-4274287917.80361,84153206.61799431,303.8,310.3,329.05,331.3,40.505083118772,304.42574136266285,310.72727565990397,320.78052400644805,331.0538885980007,-1033886734.1826919,382.49342803376277,329.05,275.60657196623725,19882437.195821
306.0,5.723585101952381,0.7870870614970082,306.0,303.0,309.0,326.1,330.3666666666667,31.958762886597942,-4273653541.4207406,132048623.5246343,303.0,309.0,326.1,330.3666666666667,45.95290910657089,304.95049424177523,309.86777099446687,319.372855053453,330.23244962757445,-1676339591.7324,377.6686563310452,326.1,274.53134366895483,47895416.90664
306.0,5.723585101952381,0.7870870614970082,306.0,303.4,307.1,322.25,329.71666666666664,34.44444444444444,-4273653541.4207406,132048623.5246343,303.4,307.1,322.25,329.71666666666664,51.84344213959381,305.30032949451686,309.1645399045638,318.09924981026705,329.4379430824081,-578158092.373512,366.97547843290886,322.25,277.52452156709114,20648503.299054
305.0,5.720311776607412,0.7870870614970082,305.0,304.0,306.4,319.35,328.8833333333333,53.44827586206896,-4273751543.188272,102060082.6600753,304.0,306.4,319.35,328.8833333333333,63.73474763164371,305.20021966301124,308.40735083100674,316.8517022092892,328.63669904691926,119954163.458236,360.313526780732,319.35,278.38647321926805,29988540.864559
302.0,5.71042701737487,0.7870870614970082,302.0,304.2,305.2,316.25,327.98333333333335,40.0,-4274069176.567401,69767355.7819723,304.2,305.2,316.25,327.98333333333335,52.57405657469548,304.13347977534085,307.24237795264185,315.4372543798331,327.76336465193833,-322927268.78103,352.0440012616044,316.25,280.4559987383956,32292726.878103
300.0,5.703782474656201,0.7870870614970082,300.0,303.8,303.8,313.2,327.15,28.888888888888886,-4274456460.7370577,11287446.163792305,303.8,303.8,313.2,327.15,44.02193965151945,302.7556531835606,305.9255819612524,313.9670396769919,326.8530904010551,-1111118282.74542,342.79800846785304,313.2,283.60199153214694,58479909.61818
300.0,5.703782474656201,0.7870870614970082,300.0,302.6,302.8,310.5,326.5,17.94871794871795,-4274456460.7370577,11287446.163792305,302.6,302.8,310.5,326.5,29.829402975484026,301.8371021223737,304.84820342284286,312.63684542204027,325.9726612075779,-520715064.17085,333.55599590927176,310.5,287.44400409072824,20828602.566834
300.0,5.703782474656201,0.7870870614970082,300.0,301.4,302.4,308.45,325.9,26.923076923076923,-4274456460.7370577,11287446.163792305,301.4,302.4,308.45,325.9,33.573555721323395,301.22473474824915,303.9667118914169,311.4333363342269,325.1210985450344,-384116486.74222803,326.9230244296617,308.45,289.97697557033825,32009707.228519
301.0,5.707110264748875,0.7897106850353316,300.0,300.6,302.3,306.8,325.3,23.999999999999996,-4274420400.9642916,22105377.993580304,300.6,302.3,306.8,325.3,28.238804089799746,301.14982316549947,303.42730972934106,310.43968525477675,324.33024285503325,-140633113.787244,321.0843307600701,306.8,292.51566923992993,10817931.829788
285.0,5.652489180268651,0.7897106850353316,285.0,297.2,300.7,306.0,324.46666666666664,14.634146341463413,-4278251495.7788787,-49967093.2058417,297.2,300.7,306.0,324.46666666666664,27.480512256657246,295.7665487769997,300.0768897785518,308.0168580876552,323.04072669585184,-2090101664.783238,323.15563433608935,306.0,288.84436566391065,72072471.199422
